"Type","Identifiant","Toponyme","Code ISO 1","Code ISO 2","Code ISO 3","Trait de côte (km)","Surface (km²)","Latitude","Longitude"
"ILE NORMALE",141,"","ALA","","","",1.429328970503329,0.06538458227109908,21.1459955355287,59.9079437818833
"ILE NORMALE",142,"","ALA","","","",6.588313680304927,2.8905823721666333,20.0174630037378,60.0147316969616
"ILE NORMALE",143,"","ALA","","","",5.421333703338683,0.5117291074484587,21.150308309939,59.7775788274854
"ILE NORMALE",144,"","ALA","","","",1.1683468693604004,0.06345891972923279,20.0096718760382,59.9046969335053
"ILE NORMALE",145,"","ALA","","","",1.305571832175136,0.07019377137017249,21.1434696255881,59.945639456905
"ILE NORMALE",146,"","ALA","","","",1.188230545021334,0.0483662401907444,20.0172872225366,59.9139479255716
"ILE NORMALE",147,"","ALA","","","",3.5467538247498696,0.31759759892380235,21.1466635557367,59.9039212515018
"ILE NORMALE",148,"","ALA","","","",2.171885888516826,0.12273024669384956,21.1430581353604,59.971082445027
"ILE NORMALE",149,"","ALA","","","",2.6417891327401293,0.18987275527852773,20.0235704383527,59.9809731200729
"ILE NORMALE",150,"","ALA","","","",2.29811701705161,0.13953530150103569,21.1403558024898,59.9544329101371
"ILE NORMALE",151,"","ALA","","","",2.1321107773906918,0.08785811257374286,20.0235540342167,59.9979653577815
"ILE NORMALE",152,"","ALA","","","",1.1847352148739696,0.04410767167496681,21.1378183085562,59.888612398482
"ILE NORMALE",153,"","ALA","","","",7.258836200343229,1.7265585035552977,20.0411130303038,60.4303141714805
"ILE NORMALE",154,"","ALA","","","",1.8059253376035709,0.11587868971419334,21.1383743610514,59.7992824819923
"ILE NORMALE",155,"","ALA","","","",1.1859783423187458,0.057035431335926055,20.0272278268751,59.91371934462
"ILE NORMALE",156,"","ALA","","","",0.934145704174762,0.043499452992916104,21.1355786441756,59.8365913209953
"ILE NORMALE",157,"","ALA","","","",5.897201987331995,1.6623223995790481,20.0518859712226,60.3846571399941
"ILE NORMALE",158,"","ALA","","","",2.6173215823269786,0.15077586499786377,21.1398774129703,59.8049989221713
"ILE NORMALE",159,"","ALA","","","",1.115972603353826,0.0481379639775753,21.1341311814011,59.9566593982696
"ILE NORMALE",160,"","ALA","","","",0.9312603803035359,0.023993889234781265,21.1333994654615,59.9154140587195
"ILE NORMALE",161,"","ALA","","","",4.58400640416872,1.015088236840248,20.0512964482205,60.0129547560595
"ILE NORMALE",162,"","ALA","","","",1.0582062918873913,0.0531756052339077,21.1337432949942,59.7957541391797
"ILE NORMALE",163,"","ALA","","","",1.8864026920919779,0.12418941907124965,20.0548449234984,59.9153240111565
"ILE NORMALE",164,"","ALA","","","",1.553520768900878,0.07983788357806205,21.1326285074954,59.8900775337472
"ILE NORMALE",165,"","ALA","","","",1.6243344843033196,0.05686043167698383,20.0627882837068,59.9033914440597
"ILE NORMALE",166,"","ALA","","","",1.8637902705126153,0.11152569043505191,21.1325040886432,59.9253808397267
"ILE NORMALE",167,"","ALA","","","",5.842603329012197,1.8464967615289687,20.0723883845834,60.4307475733963
"ILE NORMALE",168,"","ALA","","","",1.369436036956136,0.06948167645961045,21.1257265444046,59.8190886266754
"ILE NORMALE",169,"","ALA","","","",1.3787971365126939,0.06255442093071341,20.0670999418969,59.9204640412408
"ILE NORMALE",170,"","ALA","","","",1.9858570754140625,0.09157132437336445,21.1229152967953,59.8872004836066
"ILE NORMALE",171,"","ALA","","","",2.4354359787980338,0.2049972587847649,20.0730963149314,59.9929026171
"ILE NORMALE",172,"","ALA","","","",1.1187169803185188,0.045141791618347166,21.1195875068843,59.8909520149661
"ILE NORMALE",173,"","ALA","","","",0.9417341161916931,0.03221154883980634,20.0730910605239,59.9856009747073
"ILE NORMALE",174,"","ALA","","","",1.0569020107460783,0.042430774331808085,21.118090466763,59.81801736373
"ILE NORMALE",175,"","ALA","","","",1.31438706435618,0.07275615564489364,20.0760018543299,59.9821629978863
"ILE NORMALE",176,"","ALA","","","",0.9330679350557268,0.030891325238227844,21.1169418313228,59.8786042017425
"ILE NORMALE",177,"","ALA","","","",3.8902641577089927,0.5154067004635334,20.0845770387166,59.9976415473912
"ILE NORMALE",178,"","ALA","","","",0.9918871128552423,0.03936446661818027,21.1121425371408,59.9387871296353
"ILE NORMALE",179,"","ALA","","","",2.2657145236787337,0.13533592123532295,20.0808034453224,59.9026490550329
"ILE NORMALE",180,"","ALA","","","",1.1206472544523436,0.05397296882104873,21.1122638053718,59.8715023456103
"ILE NORMALE",181,"","ALA","","","",2.752809217915373,0.18981093028497695,20.0853087253746,59.922014496793
"ILE NORMALE",182,"","ALA","","","",1.6169388316124433,0.061620685922980305,21.1132894150263,59.9189879463138
"ILE NORMALE",183,"","ALA","","","",1.298364767161686,0.05679183358892798,20.0893682474317,59.9071594912107
"ILE NORMALE",184,"","ALA","","","",1.3674619939759045,0.06633733169937134,21.1079783781977,59.8890547930775
"ILE NORMALE",185,"","ALA","","","",7.4400455630936415,3.205666053003311,20.1114246951651,60.3902820497981
"ILE NORMALE",186,"","ALA","","","",1.5534708726655717,0.10202131190645694,21.1086866101678,59.9417667253598
"ILE NORMALE",187,"","ALA","","","",1.4950329243032057,0.06939002724850177,21.1077628510985,59.8132488837771
"ILE NORMALE",188,"","ALA","","","",1.7061675603875401,0.09656958370387554,20.0968224846134,59.9079357514183
"ILE NORMALE",189,"","ALA","","","",6.003213615966408,0.5862663780503236,20.1033708992179,59.9831452986263
"ILE NORMALE",190,"","ALA","","","",2.0522032646210397,0.14701811062288284,21.1069340202856,59.924562460743
"ILE NORMALE",191,"","ALA","","","",1.6301266701707262,0.10590233118891716,20.0977070522391,59.9175447661078
"ILE NORMALE",192,"","ALA","","","",1.1202537881834174,0.049260963018655776,21.1026014598673,59.8176700433285
"ILE NORMALE",193,"","ALA","","","",1.4541757738964558,0.08706047635293007,20.101033557088,59.9879119986464
"ILE NORMALE",194,"","ALA","","","",0.9930954090454882,0.03648708865344524,21.1005122962455,59.9823027730868
"ILE NORMALE",195,"","ALA","","","",1.4514333496934815,0.09464820310401915,20.1094827626569,59.9977290853302
"ILE NORMALE",196,"","ALA","","","",3.415162739241473,0.5666125679159164,21.1080277927083,60.5029091164248
"ILE NORMALE",197,"","ALA","","","",2.0238303340121284,0.12914725688910483,20.1197764095805,59.9988265950565
"ILE NORMALE",198,"","ALA","","","",1.3041439738996887,0.07969168034601211,21.0989605973471,59.9465003810736
